year,urim,status_code,date,time,mimetype,redirects_to,redirect_type
2018,https://arquivo.pt/wayback/20181110194350/https://www.instagram.com/cristiano,301,11/10/2018,19:43:50,,https://arquivo.pt/wayback/20181117210121/https://www.instagram.com/cristiano/,2xx
2018,https://arquivo.pt/wayback/20181117061544/http://instagram.com/cristiano/,301,11/17/2018,6:15:44,text/plain,https://arquivo.pt/wayback/20181117210121/https://www.instagram.com/cristiano/,2xx
2018,https://arquivo.pt/wayback/20181117210121/https://www.instagram.com/cristiano/,200,11/17/2018,21:01:21,,,
2018,https://arquivo.pt/wayback/20181120062507/https://www.instagram.com/cristiano/,200,11/20/2018,6:25:07,,,
2019,https://arquivo.pt/wayback/20190320022906/https://instagram.com/cristiano,301,3/20/2019,2:29:06,,https://arquivo.pt/wayback/20190622053654/https://www.instagram.com/cristiano/,2xx
2019,https://arquivo.pt/wayback/20190325081822/https://www.instagram.com/cristiano,301,3/25/2019,8:18:22,,https://arquivo.pt/wayback/20190622053654/https://www.instagram.com/cristiano/,2xx
2019,https://arquivo.pt/wayback/20190325090157/http://instagram.com/cristiano,301,3/25/2019,9:01:57,text/plain,https://arquivo.pt/wayback/20190622053654/https://www.instagram.com/cristiano/,2xx
2019,https://arquivo.pt/wayback/20190612104206/https://instagram.com/cristiano,301,6/12/2019,10:42:06,,https://arquivo.pt/wayback/20190622053654/https://www.instagram.com/cristiano/,2xx
2019,https://arquivo.pt/wayback/20190622053654/https://www.instagram.com/cristiano/,200,6/22/2019,5:36:54,,,
2019,https://arquivo.pt/wayback/20190822192825/https://www.instagram.com/cristiano/,302,8/22/2019,19:28:25,,,login
2019,https://arquivo.pt/wayback/20191123082350/https://instagram.com/cristiano/,301,11/23/2019,8:23:50,,https://arquivo.pt/wayback/20191130094014/https://www.instagram.com/cristiano/,2xx
2019,https://arquivo.pt/wayback/20191123115722/http://instagram.com/cristiano,301,11/23/2019,11:57:22,text/plain,https://arquivo.pt/wayback/20191130094014/https://www.instagram.com/cristiano/,2xx
2019,https://arquivo.pt/wayback/20191123115726/https://instagram.com/cristiano,301,11/23/2019,11:57:26,,https://arquivo.pt/wayback/20191130094014/https://www.instagram.com/cristiano/,2xx
